M/D,2004,2005
01-01,26,30
01-02,0,0
01-03,0,72
01-04,8,34
01-05,0,60
01-06,0,47
01-07,13,26
01-08,13,49
01-09,30,32
01-10,0,35
01-11,0,12
01-12,7,75
01-13,7,36
01-14,15,40
01-15,0,56
01-16,17,20
01-17,12,40
01-18,0,13
01-19,18,12
01-20,0,63
01-21,0,0
01-22,0,42
01-23,0,78
01-24,0,25
01-25,0,26
01-26,0,53
01-27,0,26
01-28,7,42
01-29,7,40
01-30,0,0
01-31,10,0
02-01,10,27
02-02,14,43
02-03,0,0
02-04,0,61
02-05,21,19
02-06,16,0
02-07,0,0
02-08,0,53
02-09,0,78
02-10,7,53
02-11,15,100
02-12,0,41
02-13,30,17
02-14,22,61
02-15,20,35
02-16,14,0
02-17,0,12
02-18,19,12
02-19,0,73
02-20,22,70
02-21,19,48
02-22,0,36
02-23,13,36
02-24,20,24
02-25,34,50
02-26,14,47
02-27,0,52
02-28,19,30
02-29,25,NA
03-01,12,74
03-02,0,35
03-03,15,62
03-04,24,13
03-05,0,69
03-06,0,16
03-07,0,46
03-08,0,44
03-09,0,72
03-10,0,36
03-11,0,0
03-12,24,15
03-13,48,63
03-14,17,0
03-15,13,56
03-16,7,46
03-17,7,35
03-18,6,12
03-19,22,0
03-20,11,16
03-21,20,53
03-22,15,66
03-23,0,46
03-24,0,35
03-25,15,48
03-26,0,33
03-27,9,38
03-28,9,31
03-29,13,42
03-30,13,44
03-31,0,0
04-01,6,25
04-02,100,100
04-03,36,0
04-04,19,100
04-05,25,0
04-06,37,36
04-07,18,0
04-08,13,36
04-09,13,32
04-10,9,73
04-11,30,42
04-12,0,11
04-13,0,33
04-14,28,69
04-15,18,24
04-16,20,16
04-17,9,31
04-18,17,22
04-19,18,11
04-20,35,22
04-21,31,70
04-22,25,73
04-23,27,16
04-24,34,31
04-25,16,21
04-26,12,53
04-27,12,56
04-28,24,22
04-29,6,36
04-30,0,0
05-01,9,15
05-02,25,23
05-03,17,33
05-04,17,33
05-05,18,11
05-06,18,36
05-07,0,55
05-08,0,32
05-09,9,32
05-10,6,11
05-11,12,32
05-12,23,85
05-13,12,23
05-14,19,31
05-15,8,0
